skill_id	prereq_id	source	type
khan.area_of_squares_and_rectangles	khan.finding-area-by-multiplying	khan	prerequisite
khan.angles-in-circles	khan.measuring_angles	khan	prerequisite
khan.angle_types	khan.measuring_angles	khan	prerequisite
khan.drawing-angles	khan.measuring_angles	khan	prerequisite
khan.rounding_whole_numbers	khan.rounding-to-the-nearest-ten-or-hundred	khan	prerequisite
khan.multiplying-2-digit-numbers-with-area-models	khan.multiplying-by-4-digit-numbers-with-visual-models	khan	prerequisite
khan.division_2	khan.division_1.5	khan	prerequisite
khan.division-using-place-value-understanding	khan.division_1.5	khan	prerequisite
khan.multiplying-unit-fractions-and-whole-numbers	khan.multiplying-fractions-and-whole-numbers-intuition	khan	prerequisite
khan.area-and-perimeter-of-rectangles-word-problems	khan.area_of_squares_and_rectangles	khan	prerequisite
khan.area-and-perimeter-of-rectangles-word-problems	khan.perimeter-2	khan	prerequisite
khan.benchmark-angles	khan.angle_types	khan	prerequisite
khan.drawing-lines-of-symmetry-and-symmetrical-figures	khan.axis_of_symmetry	khan	prerequisite
csp.4.MD.7.lp.c	khan.naming-angles	khan	prerequisite
khan.rounding-whole-numbers-2	khan.rounding_whole_numbers	khan	prerequisite
khan.multiplication_3	khan.multiplying-2-digit-numbers-with-area-models	khan	prerequisite
khan.decompose-fractions-with-denominators-of-100	assistments.48	khan	prerequisite
khan.adding_fractions_0.5	khan.adding_fractions_with_common_denominators	khan	prerequisite
khan.adding_fractions_0.5	assistments.48	khan	prerequisite
khan.subtracting_fractions_with_common_denominators	khan.adding_fractions_with_common_denominators	khan	prerequisite
khan.understanding-multiplying-fractions-and-whole-numbers	khan.multiplying-unit-fractions-and-whole-numbers	khan	prerequisite
csp.5.LP5.2.4	khan.multiplying-unit-fractions-and-whole-numbers	khan	prerequisite
khan.identifying-triangles-by-angles	khan.angle_types	khan	prerequisite
khan.multi-step-word-problems-with-whole-numbers	khan.division_1.5	khan	prerequisite
khan.multi-step-word-problems-with-whole-numbers	khan.multiplication_3	khan	prerequisite
khan.multi-step-word-problems-with-whole-numbers	khan.rounding_whole_numbers	khan	prerequisite
khan.comparing-with-multiplication	khan.two-step-word-problems-with-addition--subtraction--multiplication--and-division	khan	prerequisite
khan.arithmetic_word_problems	khan.two-step-word-problems-with-addition--subtraction--multiplication--and-division	khan	prerequisite
khan.patterns	khan.division_2	khan	prerequisite
khan.decimal-intuition-with-grids	khan.equivalent-fractions-with-denominators-of-10-and-100-intuition	khan	prerequisite
khan.decomposing-fractions	khan.adding_fractions_with_common_denominators	khan	prerequisite
khan.decomposing-fractions	khan.subtracting_fractions_with_common_denominators	khan	prerequisite
khan.multiplying-fractions-and-whole-numbers-word-problems	csp.5.LP5.2.4	khan	prerequisite
khan.multiplicative-comparison-word-problems	khan.comparing-with-multiplication	khan	prerequisite
khan.decimals-in-words	khan.decimal-intuition-with-grids	khan	prerequisite
khan.decimals_on_the_number_line_1	khan.decimals-on-the-number-line-1	khan	prerequisite
khan.converting_mixed_numbers_and_improper_fractions	khan.division_2	khan	prerequisite
khan.converting_mixed_numbers_and_improper_fractions	assistments.48	khan	prerequisite
khan.adding-and-subtracting-fractions-with-like-denominators-word-problems	khan.adding_fractions_with_common_denominators	khan	prerequisite
khan.adding-and-subtracting-fractions-with-like-denominators-word-problems	khan.subtracting_fractions_with_common_denominators	khan	prerequisite
khan.factor-pairs	khan.division_1	khan	prerequisite
khan.decimals_on_the_number_line_2	khan.decimals_on_the_number_line_1	khan	prerequisite
khan.decimals_on_the_number_line_2	khan.decimals-on-the-number-line--hundredths-0-1	khan	prerequisite
khan.comparing_fractions_2	assistments.48	khan	prerequisite
khan.common-denominators	assistments.48	khan	prerequisite
khan.adding_subtracting_mixed_numbers_0.5	khan.subtracting_fractions_with_common_denominators	khan	prerequisite
khan.adding_subtracting_mixed_numbers_0.5	khan.converting_mixed_numbers_and_improper_fractions	khan	prerequisite
khan.measurement-units	khan.unit-sense	khan	prerequisite
khan.classifying-shapes-by-line-and-angle-types	khan.recognizing-triangles	khan	prerequisite
khan.classifying-shapes-by-line-and-angle-types	khan.identifying-triangles-by-angles	khan	prerequisite
khan.identifying-factors-and-multiples	khan.factor-pairs	khan	prerequisite
khan.fraction-decimal-intuition	khan.decimals_on_the_number_line_2	khan	prerequisite
khan.fraction-decimal-intuition	khan.decimals-in-words	khan	prerequisite
khan.decimals-greater-than-one-intuition	khan.decimals_on_the_number_line_2	khan	prerequisite
khan.decimals-greater-than-one-intuition	khan.decimals-in-words	khan	prerequisite
khan.comparing_improper_fractions_and_mixed_numbers	khan.comparing_fractions_2	khan	prerequisite
khan.comparing_improper_fractions_and_mixed_numbers	khan.converting_mixed_numbers_and_improper_fractions	khan	prerequisite
khan.measuring-and-converting-money-word-problems	khan.measurement-units	khan	prerequisite
khan.composite_numbers	khan.identifying-factors-and-multiples	khan	prerequisite
khan.prime_numbers	khan.identifying-factors-and-multiples	khan	prerequisite
khan.converting_fractions_to_decimals_0.5	khan.fraction-decimal-intuition	khan	prerequisite
khan.converting_decimals_to_fractions_1	khan.fraction-decimal-intuition	khan	prerequisite
khan.ordering_fractions	khan.comparing_fractions_2	khan	prerequisite
khan.quadrilateral_types	khan.classifying-shapes-by-line-and-angle-types	khan	prerequisite
khan.quadrilateral_types	khan.categorize-quadrilaterals	khan	prerequisite
khan.identifying-decimal-place-values	khan.understanding-whole-number-representations	khan	prerequisite
khan.comparing-decimals-visually	khan.converting_fractions_to_decimals_0.5	khan	prerequisite
khan.converting_decimals_to_fractions_2	khan.converting_decimals_to_fractions_1	khan	prerequisite
khan.subtracting-decimals-without-the-standard-algorithm-1	khan.estimating-with-subtracting-decimals	khan	prerequisite
khan.powers-of-ten	khan.multiplying-by-10	khan	prerequisite
khan.fractions_as_division_by_a_multiple_of_10	khan.converting_fractions_to_decimals_0.5	khan	prerequisite
khan.comparing_decimals_1	khan.comparing-decimals-visually	khan	prerequisite
khan.common-fractions-and-decimals	khan.converting_decimals_to_fractions_2	khan	prerequisite
khan.common-fractions-and-decimals	khan.converting_fractions_to_decimals_0.5	khan	prerequisite
khan.understanding-multiplying-fractions-and-whole-numbers-2	khan.understanding-multiplying-fractions-and-whole-numbers	khan	prerequisite
khan.subtracting-decimals-without-the-standard-algorithm-2	khan.subtracting-decimals-without-the-standard-algorithm-1	khan	prerequisite
khan.estimating-with-adding-decimals	khan.add-within-1000--level-1	khan	prerequisite
khan.decimals-in-written-form	khan.identifying-decimal-place-values	khan	prerequisite
khan.value-of-a-decimal-digit	khan.identifying-decimal-place-values	khan	prerequisite
khan.cc-4th-comparing-decimals-and-fractions	khan.comparing_decimals_1	khan	prerequisite
khan.graphing_points	khan.patterns	khan	prerequisite
khan.subtracting_fractions	khan.subtracting_fractions_with_common_denominators	khan	prerequisite
khan.subtracting_fractions	khan.common-denominators	khan	prerequisite
khan.using-visuals-to-add-and-subtract-fractions-with-unlike-denominators-	khan.common-denominators	khan	prerequisite
khan.adding_fractions	khan.adding_fractions_with_common_denominators	khan	prerequisite
khan.adding_fractions	khan.common-denominators	khan	prerequisite
khan.volume-formula-intuition	khan.decompose-shapes-to-find-area	khan	prerequisite
khan.subtracting-decimals-without-the-standard-algorithm-3	khan.subtracting-decimals-without-the-standard-algorithm-2	khan	prerequisite
khan.adding-decimals-without-the-standard-algorithm-1	khan.add-within-1000--level-1	khan	prerequisite
khan.comparing-decimal-place-value	khan.value-of-a-decimal-digit	khan	prerequisite
khan.regrouping-whole-numbers	khan.value-of-a-decimal-digit	khan	prerequisite
khan.identify-coordinates	khan.graphing_points	khan	prerequisite
khan.adding-and-subtracting-fractions-with-unlike-denominators	khan.adding_fractions	khan	prerequisite
khan.adding-and-subtracting-fractions-with-unlike-denominators	khan.subtracting_fractions	khan	prerequisite
opensalt.5.ASFUD7	khan.adding_subtracting_mixed_numbers_0.5	khan	prerequisite
