skill_id	prereq_id	source	type	confidence
khan.find-area-of-rectangles-by-counting-unit-squares	khan.area_1	khan	prerequisite	1.00
khan.measure-to-find-area	khan.measuring-lengths-2	khan	prerequisite	1.00
khan.measure-to-find-area	khan.understanding-area	khan	prerequisite	1.00
khan.solving-problems-with-bar-graphs-3	khan.multiplication_0.5	khan	prerequisite	1.00
khan.reading_pictographs_2	khan.multiplication_0.5	khan	prerequisite	1.00
khan.relate-division-to-multiplication	khan.multiplication_0.5	khan	prerequisite	1.00
khan.dividing-with-visuals	khan.meaning-of-division	khan	prerequisite	1.00
khan.letters-and-symbols-in-multiplication-and-division-equations	khan.division_1	khan	prerequisite	1.00
khan.finding-1-on-the-number-line	khan.fractions_on_the_number_line_2	khan	prerequisite	1.00
khan.finding-1-on-the-number-line	khan.relate-fractions-to-1	khan	prerequisite	1.00
khan.equivalent-fraction-models	khan.fractions_on_the_number_line_2	khan	prerequisite	1.00
khan.equivalent-fraction-models	khan.equivalent-fraction-models-1	khan	prerequisite	1.00
khan.telling-time-word-problems-with-the-number-line	khan.telling-time-on-the-number-line	khan	prerequisite	1.00
khan.finding-area-by-multiplying	khan.area_1	khan	prerequisite	1.00
khan.finding-area-by-multiplying	khan.find-area-of-rectangles-by-counting-unit-squares	khan	prerequisite	1.00
khan.finding-area-by-multiplying	khan.multiplication_0.5	khan	prerequisite	1.00
khan.measure-to-find-perimeter	khan.perimeter_1	khan	prerequisite	1.00
khan.measure-to-find-perimeter	khan.measuring-lengths-1	khan	prerequisite	1.00
khan.perimeter-2	khan.perimeter_1	khan	prerequisite	1.00
khan.categorize-quadrilaterals	khan.recognizing-shapes	khan	prerequisite	1.00
khan.estimating-volume	khan.estimating-lengths	khan	prerequisite	1.00
khan.estimating-mass	khan.estimating-lengths	khan	prerequisite	1.00
khan.estimating-length--inches--feet--yards--and-miles-	khan.estimating-lengths	khan	prerequisite	1.00
khan.measuring-area-with-unit-squares	khan.area_1	khan	prerequisite	1.00
khan.find-a-missing-side-length-when-given-perimeter	khan.perimeter-2	khan	prerequisite	1.00
khan.creating_bar_charts_1	khan.solving-problems-with-bar-graphs-3	khan	prerequisite	1.00
khan.reading_bar_charts_2	khan.solving-problems-with-bar-graphs-3	khan	prerequisite	1.00
khan.creating-picture-and-bar-graphs-2	khan.reading_pictographs_2	khan	prerequisite	1.00
khan.rounding-to-the-nearest-10-or-100-on-the-number-line	khan.rounding-to-the-nearest-ten-or-hundred	khan	prerequisite	1.00
khan.two-step-word-problems-with-addition--subtraction--multiplication--and-division	khan.subtraction_4	khan	prerequisite	1.00
khan.two-step-word-problems-with-addition--subtraction--multiplication--and-division	khan.multiplication_1	khan	prerequisite	1.00
khan.two-step-word-problems-with-addition--subtraction--multiplication--and-division	khan.division_1	khan	prerequisite	1.00
khan.estimating-volume--cups--pints--quarts--and-gallons-	khan.estimating-volume	khan	prerequisite	1.00
khan.volume-word-problems-1	khan.multiplication_0.5	khan	prerequisite	1.00
khan.volume-word-problems-1	khan.division_1	khan	prerequisite	1.00
khan.volume-word-problems-1	khan.estimating-volume	khan	prerequisite	1.00
khan.estimating-mass--ounces-and-pounds-	khan.estimating-mass	khan	prerequisite	1.00
khan.relate-division-to-multiplication-word-problems	khan.relate-division-to-multiplication	khan	prerequisite	1.00
khan.telling-time-word-problems	khan.telling-time-word-problems-with-the-number-line	khan	prerequisite	1.00
khan.comparing-areas-by-multiplying	khan.finding-area-by-multiplying	khan	prerequisite	1.00
khan.rounding-challenge	khan.rounding-to-the-nearest-ten-or-hundred	khan	prerequisite	1.00
khan.measurement-units	khan.estimating-volume--cups--pints--quarts--and-gallons-	khan	prerequisite	1.00
khan.measurement-units	khan.estimating-volume	khan	prerequisite	1.00
khan.measure-mass	khan.division_1	khan	prerequisite	1.00
khan.measure-mass	khan.multiplication_0.5	khan	prerequisite	1.00
khan.measure-mass	khan.estimating-mass	khan	prerequisite	1.00
khan.measurement-units	khan.estimating-length--inches--feet--yards--and-miles-	khan	prerequisite	1.00
khan.decompose-shapes-to-find-area	khan.decompose-figures-to-find-area-1	khan	prerequisite	1.00
khan.comparing-area-and-perimeter	khan.comparing-areas-by-multiplying	khan	prerequisite	1.00
khan.comparing-area-and-perimeter	khan.perimeter-2	khan	prerequisite	1.00
